mode,cycles,mean_error,max_error,pair_rms,triad_rms,viable,mid,ultra,singular,deep,very_deep,ultra_deep,access,spread,rollbacks,waste,reopen_events,phase_switches,runtime,seed,trial
fact_only,378,0.0019856520967947537,0.002832093826723956,0.002881068582852504,0.0029940628038215068,8,8,8,8,8,8,4,0.6429773273580282,0.08753385840589144,0,0.0,0,0,0.11950410000281408,20260643,35
fact_only,382,0.002035522101722958,0.00296917058132854,0.002997504541592468,0.002864985325984419,8,8,8,8,8,8,3,0.6427162570703566,0.08767942311836115,0,0.0,0,0,0.10556009999709204,20260644,36
fact_only,363,0.002533438592310193,0.003980148264406707,0.002958019459217761,0.002923013990984466,8,8,8,8,8,8,2,0.6425624664649117,0.08758907869607709,0,0.0,0,0,0.10935070000414271,20260645,37
fact_only,424,0.0017082868059880442,0.002929879658142047,0.0029958805111952483,0.0028954995990812553,8,8,8,8,8,8,4,0.6425807656880556,0.08740892085040158,0,0.0,0,0,0.12082050000026356,20260646,38
fact_only,404,0.001790564755781404,0.0030174694738006502,0.0021697652494399255,0.0029912796950965327,8,8,8,8,8,8,6,0.6421384166247697,0.08786106382769833,0,0.0,0,0,0.1229758999979822,20260647,39
fact_only,381,0.0023223546087817667,0.0029943516889859505,0.002709999433767853,0.002975914720588582,8,8,8,8,8,8,3,0.6420907374044438,0.08708099756801972,0,0.0,0,0,0.11175619999994524,20260648,40
fact_only,380,0.001995192893607615,0.002856527791286599,0.002991721064645867,0.00267087321638296,8,8,8,8,8,8,3,0.6426214150961178,0.08753754955600873,0,0.0,0,0,0.12513359999866225,20260649,41
fact_only,394,0.0016802042407319116,0.002474442557518707,0.0024938184908644963,0.002972352694431805,8,8,8,8,8,8,6,0.6431607215514937,0.08743755722788453,0,0.0,0,0,0.11513700000068638,20260650,42
fact_only,369,0.0024047641217608755,0.003743036726594223,0.002915441187198037,0.002964682729941177,8,8,8,8,8,8,3,0.6429185951703461,0.08743033518629284,0,0.0,0,0,0.1115214999881573,20260651,43
fact_only,403,0.00206616047086341,0.002742040507110923,0.0029925740549980487,0.0027878835224648952,8,8,8,8,8,8,4,0.644131402418495,0.08794687794156002,0,0.0,0,0,0.11368059999949764,20260652,44
fact_only,415,0.0017053327938341659,0.0033542848608717466,0.002991296601447806,0.00282683047429307,8,8,8,8,8,8,5,0.6426306788159906,0.08701988094232825,0,0.0,0,0,0.11786349999601953,20260653,45
fact_only,389,0.0018256898740882743,0.00268431782562549,0.002492580483891957,0.0029890229913138357,8,8,8,8,8,8,6,0.6428894879250027,0.08732449182464136,0,0.0,0,0,0.11994219999178313,20260654,46
fact_only,390,0.002284326546184803,0.0031574712020706274,0.0029966970034791124,0.0029280654615345372,8,8,8,8,8,8,2,0.6426358513983002,0.0875176445563473,0,0.0,0,0,0.12703099999635015,20260655,47
fact_only,431,0.001829775901693875,0.003018603150938887,0.0029921652174201173,0.0027660829278216546,8,8,8,8,8,8,5,0.6423648527751299,0.08799005929368746,0,0.0,0,0,0.13621450000209734,20260656,48
fact_only,447,0.001760555094101899,0.002831761892998407,0.0029965947398554655,0.002707480827893935,8,8,8,8,8,8,6,0.6420711385535667,0.08738906639914996,0,0.0,0,0,0.13466799999878276,20260657,49
fact_only,408,0.0017455312286759656,0.0028765112844981594,0.0028103395196208063,0.0029923736424898686,8,8,8,8,8,8,5,0.6422206059709321,0.08772088334037036,0,0.0,0,0,0.1275549999991199,20260658,50
topology_only,650,0.005494457470675302,0.006719238763157323,0.0020444195621082224,0.001689827096542497,8,8,8,8,8,3,0,0.6436709476583945,0.08560696953187873,0,0.0,271,157,0.27778020000550896,20360609,1
topology_only,650,0.005632020497132955,0.006887389999786435,0.0019527285209421908,0.0031682234246172727,8,8,8,8,8,3,0,0.6431728931061085,0.08607849259272755,0,0.0,383,197,0.2558229999995092,20360610,2
topology_only,650,0.005482227583528013,0.005966373513504159,0.002146867590324174,0.0020418415471000636,8,8,8,8,8,2,0,0.6462671965883127,0.08591660625592111,0,0.0,410,140,0.24021729998639785,20360611,3
